lambda,N,p_max,mean_error_50,mean_error_100,sliwinski_bound,dissonance_delta
10.0,1000,101,0.2540710815899995,0.23376008805520024,0.10857362047581294,0.1454974611141866
12.5,1000,13,0.25222972534142984,0.263172387471297,0.098981337747179,0.15324838759425086
12.5,1000,31,0.25636732986091,0.2643476286019269,0.098981337747179,0.157385992113731
12.5,1000,61,0.2716781681622498,0.24524524973578152,0.098981337747179,0.17269683041507083
12.5,1000,101,0.28821521273261685,0.2505139725418306,0.098981337747179,0.18923387498543787
15.0,1000,13,0.22732116121414825,0.2559399756540401,0.09231734326721376,0.1350038179469345
15.0,1000,31,0.24126382623709014,0.2319752543623515,0.09231734326721376,0.1489464829698764
15.0,1000,61,0.21989038178619416,0.2034143084498243,0.09231734326721376,0.1275730385189804
15.0,1000,101,0.23862814142577712,0.20578223246143307,0.09231734326721376,0.14631079815856335
17.5,1000,13,0.2344293069624216,0.2531243861987118,0.08734537176119352,0.1470839352012281
17.5,1000,31,0.22715710693470853,0.22484666349611707,0.08734537176119352,0.13981173517351503
17.5,1000,61,0.22777395733688013,0.19967874870372065,0.08734537176119352,0.1404285855756866
17.5,1000,101,0.2434897382723397,0.21178476267015267,0.08734537176119352,0.15614436651114616
20.0,1000,13,0.24710767301754444,0.2501413890889943,0.08345205017383352,0.16365562284371094
20.0,1000,31,0.2284738629654688,0.23636899095906824,0.08345205017383352,0.14502181279163529
20.0,1000,61,0.24079384960946718,0.20395695646652923,0.08345205017383352,0.15734179943563364
20.0,1000,101,0.25534252528615065,0.21489131132777797,0.08345205017383352,0.17189047511231714
22.5,1000,13,0.24478104273431253,0.24436717537212588,0.08029509257926311,0.1644859501550494
22.5,1000,31,0.24438000160036574,0.23815653582940352,0.08029509257926311,0.16408490902110262
22.5,1000,61,0.218090524967865,0.198888067300454,0.08029509257926311,0.13779543238860187
22.5,1000,101,0.2486321273733252,0.21131902612236708,0.08029509257926311,0.1683370347940621
25.0,1000,13,0.23657701771071338,0.24388442441870775,0.07766686681995148,0.15891015089076188
25.0,1000,31,0.20152598960778248,0.21854485452097222,0.07766686681995148,0.123859122787831
25.0,1000,61,0.18458133707776675,0.1805530275661685,0.07766686681995148,0.10691447025781527
25.0,1000,101,0.21443505844930213,0.1953006688587454,0.07766686681995148,0.13676819162935067
27.5,1000,13,0.21533728347512382,0.2267149200057075,0.07543330387839908,0.13990397959672474
27.5,1000,31,0.21157593717368808,0.20796226170461674,0.07543330387839908,0.136142633295289
27.5,1000,61,0.19140906488202764,0.17366901925953876,0.07543330387839908,0.11597576100362855
27.5,1000,101,0.2013126521233637,0.18015172970881457,0.07543330387839908,0.1258793482449646
30.0,1000,13,0.2273028422480882,0.2130295255630582,0.07350352594880151,0.15379931629928667
30.0,1000,31,0.2095050258706332,0.19763050564329848,0.07350352594880151,0.1360014999218317
30.0,1000,61,0.21051282219718054,0.17897466168611703,0.07350352594880151,0.13700929624837904
30.0,1000,101,0.22784935838288425,0.18871539125478864,0.07350352594880151,0.15434583243408273
